x1,x2,x3,prediction,Layer
987.6322592989998,980.4372146779853,1968.069473976985,1.0,Layer 2
1000.9047661126484,965.4572078129606,1966.3619739256087,1.0,Layer 2
967.6600527657469,988.9020030241732,1956.56205578992,999.0,No Reaction
953.2035869585562,985.2101145731066,1938.4137015316628,0.0,Layer 1
995.014692341062,1005.2714645513522,2000.286156892414,999.0,No Reaction
986.8368743681708,980.191341755106,1967.0282161232767,1.0,Layer 2
1004.2491075324396,941.7855921737832,1946.034699706223,0.0,Layer 1
990.578937555866,907.9273722007412,1898.5063097566072,0.0,Layer 1
973.6926092834932,978.729549160328,1952.4221584438208,1.0,Layer 2
1002.5477377857892,958.140650867577,1960.6883886533665,1.0,Layer 2
975.9242585226548,998.3247206324984,1974.2489791551527,999.0,No Reaction
975.4577922221532,994.8659602088782,1970.3237524310312,999.0,No Reaction
959.7914727075226,956.4929289719224,1916.2844016794447,0.0,Layer 1
992.4642269434004,986.7460315541998,1979.2102584976003,1.0,Layer 2
979.4610084528256,951.2723504434156,1930.733358896241,0.0,Layer 1
984.7520943702624,991.1256840319224,1975.877778402185,1.0,Layer 2
978.9808966960233,987.3771933985212,1966.3580900945444,1.0,Layer 2
1001.3286834976794,952.2702071121196,1953.598890609799,0.0,Layer 1
964.4899300486964,1003.2903282422812,1967.7802582909776,999.0,No Reaction
998.5307188984558,948.1744720507488,1946.7051909492045,0.0,Layer 1
968.0975409520744,948.301911240422,1916.399452192496,0.0,Layer 1
953.6848573439116,952.7222162018988,1906.4070735458104,0.0,Layer 1
1011.4976956256004,1006.8492329927092,2018.3469286183097,1.0,Layer 2
994.90416363264,971.5987471343266,1966.5029107669664,1.0,Layer 2
922.2545121027238,994.225328716046,1916.4798408187696,999.0,No Reaction
946.1747375111636,964.3977044598726,1910.572441971036,0.0,Layer 1
983.9654696802912,976.500444036647,1960.465913716938,1.0,Layer 2
972.7739249695368,996.780207487534,1969.5541324570704,999.0,No Reaction
967.515408833585,996.2701245364472,1963.785533370032,999.0,No Reaction
980.7697748711915,975.421687608176,1956.191462479368,1.0,Layer 2
975.4881504615438,957.8825003994016,1933.3706508609453,0.0,Layer 1
967.952156946805,928.154061475748,1896.106218422553,0.0,Layer 1
979.261751482882,987.1984487903874,1966.4602002732693,1.0,Layer 2
990.7747407351771,962.8690451869736,1953.6437859221508,1.0,Layer 2
959.385419551328,992.3929759577868,1951.7783955091145,999.0,No Reaction
973.6197119861782,950.826839655576,1924.4465516417545,0.0,Layer 1
992.4559795948094,1000.478737623616,1992.9347172184252,999.0,No Reaction
971.8569732098616,979.17682952247,1951.033802732332,1.0,Layer 2
958.744264541728,978.6686139265948,1937.4128784683228,0.0,Layer 1
974.399593813925,916.2366762980788,1890.636270112004,0.0,Layer 1
977.1910037279412,984.271036457874,1961.462040185815,1.0,Layer 2
969.0083166874704,987.535816784046,1956.5441334715165,1.0,Layer 2
963.7830107651045,979.4629875142618,1943.2459982793664,0.0,Layer 1
992.3399426155266,958.6314344651672,1950.9713770806936,1.0,Layer 2
962.0554382301502,952.7810361089236,1914.836474339074,0.0,Layer 1
957.7289940107628,929.4258930990292,1887.154887109792,0.0,Layer 1
986.377870560908,977.6561435480196,1964.034014108928,1.0,Layer 2
974.7158697115864,970.0138621074732,1944.7297318190597,0.0,Layer 1
994.577070077314,968.6389937888252,1963.2160638661396,1.0,Layer 2
990.1576647512874,1030.5750026245405,2020.7326673758275,999.0,No Reaction
1000.8839162443724,953.587468770498,1954.4713850148703,0.0,Layer 1
983.3021329770044,1001.9134528436932,1985.2155858206977,999.0,No Reaction
990.4368526726472,1011.4553317391378,2001.892184411785,999.0,No Reaction
960.7605320805524,986.7895679370214,1947.5501000175736,999.0,No Reaction
959.0267656647676,985.1601704640634,1944.186936128831,0.0,Layer 1
969.285523683946,989.0921258749964,1958.3776495589425,1.0,Layer 2
989.03052161391,937.344498110898,1926.375019724808,0.0,Layer 1
995.5765440867932,1000.0792502097048,1995.6557942964985,1.0,Layer 2
996.018271936507,1020.2989548497942,2016.317226786301,999.0,No Reaction
968.411585820304,982.7388370091649,1951.1504228294689,1.0,Layer 2
949.7192921461656,996.5885862627206,1946.3078784088864,1.0,Layer 2
971.4113352679428,986.887963783426,1958.2992990513685,1.0,Layer 2
985.9692659250584,959.6521730213514,1945.6214389464096,0.0,Layer 1
983.2250351041984,970.4272721702624,1953.6523072744608,1.0,Layer 2
1012.8527119455424,988.6316187025508,2001.484330648093,1.0,Layer 2
978.904631158156,976.644480959235,1955.549112117391,1.0,Layer 2
946.8328577257248,941.7230490507196,1888.5559067764443,0.0,Layer 1
1002.6085087120016,979.0414203894086,1981.6499291014104,1.0,Layer 2
992.5005948518682,989.2599111169518,1981.76050596882,1.0,Layer 2
969.915986373037,955.7668272343188,1925.682813607356,0.0,Layer 1
950.7103354146964,1002.3851483267,1953.0954837413965,1.0,Layer 2
997.5743641950844,977.758761839762,1975.3331260348464,1.0,Layer 2
959.4311148192754,985.7026984414938,1945.133813260769,0.0,Layer 1
985.0446383127602,1003.4836702258316,1988.528308538592,999.0,No Reaction
997.272837878318,981.592878327464,1978.865716205782,1.0,Layer 2
988.1208477874462,980.4766585054166,1968.5975062928628,1.0,Layer 2
978.2153502912696,959.6448037177596,1937.860154009029,0.0,Layer 1
